"V1","V2","V3"
"RM","0.804","0.71-0.899"
"PM","0.525","0.404-0.646"
"SCLM.a","0.837","0.748-0.927"
"SCLM.b","0.857","0.766-0.947"
"SCLM.c","0.807","0.711-0.902"
"SCLM.d","0.879","0.807-0.95"
"SCLM.e","0.834","0.747-0.921"
"SCLM.f","0.845","0.766-0.924"
"RPM","0.809","0.717-0.901"
"iRM","0.853","0.774-0.933"
"iPM","0.637","0.509-0.765"
"iSCLM","0.887","0.815-0.958"
"iRPM","0.839","0.762-0.917"
"RM","0.749","0.626-0.873"
"PM","0.498","0.365-0.632"
"SCLM.a","0.766","0.639-0.893"
"SCLM.b","0.659","0.513-0.804"
"SCLM.c","0.724","0.594-0.855"
"SCLM.d","0.843","0.751-0.935"
"SCLM.e","0.816","0.714-0.917"
"SCLM.f","0.814","0.707-0.921"
"RPM","0.681","0.534-0.828"
"iRM","0.817","0.712-0.923"
"iPM","0.55","0.41-0.689"
"iSCLM","0.885","0.79-0.98"
"iRPM","0.846","0.744-0.947"
"RM","0.819","0.728-0.91"
"PM","0.531","0.397-0.665"
"SCLM.a","0.646","0.522-0.771"
"SCLM.b","0.589","0.452-0.725"
"SCLM.c","0.54","0.406-0.674"
"SCLM.d","0.806","0.711-0.901"
"SCLM.e","0.798","0.699-0.897"
"SCLM.f","0.779","0.674-0.885"
"RPM","0.689","0.562-0.816"
"iRM","0.782","0.671-0.894"
"iPM","0.519","0.389-0.648"
"iSCLM","0.848","0.758-0.938"
"iRPM","0.781","0.668-0.895"
