truelabel,score
0,0.006110586
1,0.966719747
1,0.997871041
1,0.102281235
0,0.085839853
1,0.819047809
1,0.948803365
1,0.088858612
0,0.905596554
1,0.851439774
0,0.038556259
1,0.99483335
0,0.2753492
1,0.984384179
0,0.011255465
1,0.983726859
1,0.989700317
1,0.989833236
1,0.980695248
1,0.532334924
1,0.213130444
1,0.657653153
1,0.782399356
0,0.594574034
0,0.004140373
1,0.996733785
1,0.134611696
1,0.754848659
1,0.825475574
0,0.034264665
0,0.808597445
0,0.033580229
1,0.1848104
0,0.054639757
1,0.103414036
1,0.867956638
1,0.103789829
0,0.044283994
0,0.108850412
