truelabel,score
0,0.014590954
1,0.916045189
1,0.998262823
1,0.079224132
0,0.045106072
1,0.603061378
1,0.951782584
1,0.100430571
0,0.725661039
1,0.585132658
0,0.116953775
1,0.966461122
0,0.520210803
1,0.750883102
0,0.037317876
1,0.856999695
1,0.98112911
1,0.867393911
1,0.963148713
1,0.307166666
1,0.166841403
1,0.530673325
1,0.423668504
0,0.441023588
0,0.020888122
1,0.99548918
1,0.131085351
1,0.789656222
1,0.049519133
0,0.333843261
0,0.843401313
0,0.488269538
1,0.397241831
0,0.013724954
1,0.191208422
1,0.727578282
1,0.071938336
0,0.031659558
0,0.040275473
