truelabel,score
1,0.891428113
0,0.14387463
0,0.233212784
1,0.477456659
0,0.193276525
1,0.693275869
1,0.715406656
1,0.45740816
1,0.230631486
0,0.276951581
1,0.856942296
1,0.626986742
0,0.123472519
1,0.838943601
1,0.402293622
0,0.417531759
1,0.805388629
0,0.016971033
0,0.068902768
0,0.146860838
1,0.407229602
1,0.702389359
1,0.242339835
1,0.908200264
1,0.688473582
1,0.229778379
0,0.03324122
1,0.651880383
1,0.576248467
1,0.148670167
0,0.181431934
1,0.265603602
0,0.12249501
0,0.218512103
0,0.127905667
1,0.251988858
0,0.344971925
1,0.082525782
1,0.711523652
1,0.122279033
0,0.035514195
0,0.10312622
