truelabel,score
0,0.48433885
1,0.701032341
0,0.326811463
1,0.876226723
0,0.715360761
1,0.356121004
1,0.826444924
0,0.190264091
0,0.190577015
1,0.585426807
0,0.33326441
1,0.962885022
0,0.334691197
1,0.799121618
0,0.190875947
1,0.697728038
0,0.644778132
0,0.506624818
1,0.982879817
1,0.650981247
0,0.097177751
1,0.929662645
0,0.465289056
1,0.665655971
1,0.328336209
0,0.226823583
1,0.706320107
1,0.943288684
1,0.923701704
1,0.913562417
1,0.856135726
1,0.695436239
0,0.150701836
0,0.347693771
0,0.223384365
1,0.088694908
0,0.360208005
1,0.057885509
1,0.870752275
1,0.530652702
0,0.424877703
0,0.521329284
