truelabel,score
0,0.01485009
1,0.928301334
1,0.994627535
1,0.055692561
0,0.041359473
1,0.780653536
1,0.949814856
1,0.11627619
0,0.762351573
1,0.914697528
0,0.4019714
1,0.966480613
0,0.232901052
1,0.956258237
0,0.061406642
1,0.837928534
1,0.942212999
1,0.962201476
1,0.878586233
1,0.75039345
1,0.06193018
1,0.637386382
1,0.712490618
0,0.63723439
0,0.023645112
1,0.956329107
1,0.598775029
1,0.856643081
1,0.971414924
0,0.472068518
0,0.483481258
1,0.534062266
0,0.213152945
0,0.132508561
0,0.151836693
1,0.313984156
0,0.829017043
1,0.138199642
1,0.908405483
1,0.016117396
0,0.125923231
0,0.288062304
